region,region_name,region_number
강원특별자치도,강릉,105
강원특별자치도,대관령,100
강원특별자치도,동해,106
강원특별자치도,북강릉,104
강원특별자치도,북춘천,93
강원특별자치도,삼척,214
강원특별자치도,속초,90
강원특별자치도,영월,121
강원특별자치도,원주,114
강원특별자치도,인제,211
강원특별자치도,정선군,217
강원특별자치도,철원,95
강원특별자치도,춘천,101
강원특별자치도,태백,216
강원특별자치도,홍천,212
,,
경기도,동두천,98
경기도,수원,119
경기도,양평,202
경기도,이천,203
경기도,파주,99
,,
경상남도,거제,294
경상남도,거창,284
경상남도,김해시,253
경상남도,남해,295
경상남도,밀양,288
경상남도,북창원,255
경상남도,산청,289
경상남도,양산시,257
경상남도,의령군,263
경상남도,진주,192
경상남도,창원,155
경상남도,통영,162
경상남도,함양군,264
경상남도,합천,285
,,
,,
경상북도,구미,279
경상북도,문경,273
경상북도,봉화,271
경상북도,상주,137
경상북도,안동,136
경상북도,영덕,277
경상북도,영주,272
경상북도,영천,281
경상북도,울릉도,115
경상북도,울진,130
경상북도,의성,278
경상북도,청송군,276
경상북도,포항,138
,,
광주광역시,광주,156
,,
대구광역시,대구,143
,,
,,
대전광역시,대전,133
,,
부산광역시,부산,159
,북부산,296
,,
서울특별시,관악산,116
서울특별시,서울,108
,,
세종특별자치시,세종,239
,,
울산광역시,울산,152
,,
인천광역시,강화,201
인천광역시,백령도,102
인천광역시,인천,112
,,
전라남도,강진군,259
전라남도,고흥,262
전라남도,광양시,266
전라남도,목포,165
전라남도,무안,164
전라남도,보성군,258
전라남도,순천,174
전라남도,여수,168
전라남도,영광군,252
전라남도,완도,170
전라남도,장흥,260
전라남도,주암,256
,,
진도,진도군,268
진도,해남,261
진도,흑산도,169
,,
전북특별자치도,고창,172
전북특별자치도,고창군,251
전북특별자치도,군산,140
전북특별자치도,남원,247
전북특별자치도,부안,243
전북특별자치도,순창군,254
전북특별자치도,임실,244
전북특별자치도,장수,248
전북특별자치도,전주,146
전북특별자치도,정읍,245
,,
제주특별자치도,고산,185
제주특별자치도,서귀포,189
제주특별자치도,성산,187
제주특별자치도,성산,188
제주특별자치도,성산포,265
제주특별자치도,제주,184
,,
충청남도,금산,238
충청남도,보령,235
충청남도,부여,236
충청남도,서산,129
충청남도,천안,232
충청남도,홍성,177
,,
충청북도,보은,226
충청북도,서청주,181
충청북도,제천,221
충청북도,청주,131
충청북도,추풍령,135
충청북도,충주,127
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
